participant_id,blendshape_scriptID,average_frame_rate_OF,average_frame_rate_ARKIT,n_frames_OF,n_frame_ARKIT,max_lag,delay_ms,max_corr
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_012,58.21392016376663,60.001589094717495,456,476,-20,0.33332450526315793,2.1132591187063268
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_013,57.97546012269939,60.001590951275226,379,397,-20,0.33332449494949495,1.3253992908751875
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_014,58.084956582961745,60.00159073984752,496,517,-21,0.34999072093023254,1.0008191497531502
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_015,58.23521964805671,59.87633157508198,461,479,-20,0.3340217991631799,0.8150482028412194
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_016,58.21568912822005,60.00158381268966,401,420,-21,0.3499907613365155,1.657504215051947
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_017,57.90794979079498,60.00158905307272,347,365,-18,0.299992054945055,1.7784556429493033
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_018,58.03024111156519,59.86705209388714,427,446,-21,0.3507772516853933,2.0660103838339383
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_019,58.1596222503743,60.001599282170986,506,527,-22,0.36665689353612163,0.9738202543100126
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_020,58.0997949419002,60.00159331962092,341,358,-19,0.31665825770308126,1.8149739234155526
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_021,58.111792774369455,60.0015877857492,342,360,-20,0.333324512534819,1.2555083878485214
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_022,57.93991416309013,59.85158606703078,379,400,-22,0.36757588972431077,1.084848082268794
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_023,58.513558019541115,60.103756691297974,534,554,-21,0.3493957974683544,1.4577712379358139
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_024,58.296694349454484,60.001601112243584,359,375,-18,0.2999919946524064,0.6274473967152419
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_025,58.63054291459414,59.995301067328995,555,573,-19,0.3166914685314685,1.4316981501847739
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_026,58.45705196182397,60.001588663507285,442,458,-17,0.2833258315098468,0.9810727408819035
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_027,57.96401400797005,59.88206460450047,481,502,-22,0.3673888023952096,1.8843864139709716
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_028,58.4476101717481,60.00159477922966,440,457,-18,0.2999920263157895,1.3905963230511778
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_029,58.442367601246104,59.87812517515895,470,486,-19,0.31731120412371133,1.8211408068995565
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_030,58.33333333333333,59.894450763064945,540,560,-21,0.35061678890876563,1.9666642309177171
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_031,57.87278415015641,60.00159488110265,445,466,-23,0.3833231440860215,1.6789661144808377
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_032,58.3019286189315,60.001592013043556,527,549,-24,0.39998938686131386,2.2946073876250526
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_033,58.23156942559929,59.99487804921729,516,537,-22,0.3666979701492537,1.6504123754997413
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_034,58.281786941580755,60.00158556226101,425,443,-20,0.3333245248868778,1.228815820282625
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_035,58.13794049088167,60.001589231282345,425,445,-23,0.38332318018018013,1.2486291318801817
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_036,58.254929758989555,60.00158566558313,453,474,-22,0.36665697674418607,1.861732431946428
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_037,57.88423153692615,59.99177769368394,349,368,-23,0.38338587193460494,1.188546417822749
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_038,58.22267620020429,59.87526239638989,457,475,-21,0.3507291518987342,0.8936917785602909
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_039,58.33855145063661,60.00158693852351,560,581,-19,0.31665829137931034,2.0468035563127085
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_040,58.27913956978489,60.11786813133256,467,487,-21,0.3493137839506173,0.9906257046533286
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_041,57.95627859684799,60.001583235053424,457,477,-21,0.34999076470588236,1.811902193023441
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_042,58.573402785159985,59.89633197599895,552,570,-19,0.31721475043936725,1.655724457284454
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_043,58.34464043419268,60.001592121454316,517,607,-88,1.4666277491749173,1.1813616703732426
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_044,58.14778045667281,59.861722218950966,411,429,-21,0.3508084836448598,1.1047916840751788
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_045,58.19158460161146,60.10583062043855,521,543,-22,0.36602106273062734,2.2859289619500527
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_046,58.34464043419268,59.994899318411115,517,539,-24,0.4000340074349442,2.5146373976203584
082b6e2e-1998-5c3c-892f-5cef247522d6,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_047,58.486387911944774,59.8725591931863,450,465,-18,0.30063856034482755,0.8002115195514101
